id,customer,date,amount
C0001,МУП Культура,2024-02-06,57662.37
C0002,МУП Культура,2025-03-30,74308.79
C0003,ГБУ Концерт-холл,2024-02-26,95165.71
C0004,ООО Ромашка,2024-02-03,29555.77
C0005,МУП Культура,2024-02-06,87704.06
C0006,ИП Иванов,2024-07-08,56606.17
C0007,ИП Соло,2024-09-07,29538.67
C0008,ГБУ Концерт-холл,2024-10-31,73702.94
C0009,ИП Соло,2024-10-21,30098.18
C0010,ИП Соло,2025-02-23,86443.00
C0011,ИП Иванов,2024-02-09,95569.21
C0012,ИП Соло,2025-06-23,24162.19
C0013,ГБУ Концерт-холл,2024-02-27,80189.47
C0014,ИП Иванов,2024-08-09,35931.59
C0015,МУП Культура,2024-01-21,57502.42
C0016,ИП Соло,2025-01-31,15885.98
C0017,МУП Культура,2025-07-28,63670.54
C0018,ИП Соло,2025-01-25,46758.41
C0019,ИП Иванов,2025-03-23,49571.46
C0020,ИП Иванов,2024-05-02,8212.43
C0021,ООО Ромашка,2025-06-08,85535.73
C0022,МУП Культура,2024-04-18,98093.65
C0023,ООО Филармония,2024-06-05,18986.49
C0024,ООО Ромашка,2024-12-09,10784.42
C0025,ООО Филармония,2024-08-13,15847.24
C0026,МУП Культура,2025-07-06,17499.67
C0027,ООО Филармония,2024-08-18,65778.85
C0028,МУП Культура,2025-09-19,25014.05
C0029,ООО Филармония,2025-10-01,39483.03
C0030,ГБУ Концерт-холл,2025-04-13,22353.31
C0031,ООО Филармония,2024-06-19,45200.72
C0032,ГБУ Концерт-холл,2025-03-20,85872.93
C0033,ИП Соло,2025-04-28,63779.51
C0034,МУП Культура,2024-02-08,11022.46
C0035,МУП Культура,2024-03-25,17320.12
C0036,МУП Культура,2024-01-14,23138.42
C0037,ИП Соло,2025-05-22,10987.49
C0038,ГБУ Концерт-холл,2025-02-13,83652.95
C0039,ООО Филармония,2025-01-16,96891.49
C0040,ИП Иванов,2024-10-28,55063.69
C0041,МУП Культура,2024-07-02,12618.65
C0042,ООО Ромашка,2024-08-18,41465.17
C0043,ГБУ Концерт-холл,2024-10-15,16873.78
C0044,ООО Ромашка,2025-07-21,34428.17
C0045,ИП Иванов,2025-10-09,42900.20
C0046,ООО Филармония,2025-06-06,63320.96
C0047,ИП Иванов,2024-08-01,11445.81
C0048,ГБУ Концерт-холл,2025-07-24,63621.31
C0049,МУП Культура,2024-07-08,87937.36
C0050,ГБУ Концерт-холл,2025-07-31,35973.39
C0051,МУП Культура,2025-03-01,10075.13
C0052,МУП Культура,2024-06-08,48004.98
C0053,ООО Ромашка,2024-03-28,4944.38
C0054,ИП Иванов,2025-06-06,87876.39
C0055,ГБУ Концерт-холл,2025-04-28,41101.81
C0056,ИП Соло,2024-04-30,99918.44
C0057,ГБУ Концерт-холл,2025-07-05,75973.26
C0058,ГБУ Концерт-холл,2025-05-29,9656.10
C0059,МУП Культура,2024-08-24,60172.24
C0060,ИП Иванов,2025-02-07,80777.60
C0061,МУП Культура,2025-09-25,6604.45
C0062,ИП Иванов,2025-01-18,7574.64
C0063,ООО Ромашка,2024-05-14,35570.70
C0064,МУП Культура,2025-07-14,63909.83
C0065,ГБУ Концерт-холл,2024-11-27,37944.30
C0066,ГБУ Концерт-холл,2025-03-24,13375.91
C0067,ИП Иванов,2024-03-14,55399.29
C0068,ИП Иванов,2025-07-06,3985.62
C0069,ООО Филармония,2025-07-28,93740.09
C0070,МУП Культура,2024-12-01,38346.70
C0071,ГБУ Концерт-холл,2024-12-13,86169.00
C0072,ООО Филармония,2024-01-12,7887.27
C0073,ООО Ромашка,2024-10-28,44776.02
C0074,ООО Ромашка,2025-09-19,79354.41
C0075,ИП Соло,2024-09-26,4803.74
C0076,ГБУ Концерт-холл,2025-03-27,25189.85
C0077,ИП Иванов,2024-07-22,30167.18
C0078,ГБУ Концерт-холл,2024-06-29,77983.82
C0079,ООО Филармония,2025-02-06,12949.13
C0080,ИП Соло,2024-01-05,85562.31
C0081,ООО Филармония,2024-07-11,12165.28
C0082,ИП Соло,2024-08-22,5076.91
C0083,ИП Соло,2024-01-08,52975.46
C0084,ИП Соло,2024-09-21,71848.49
C0085,ИП Соло,2024-07-13,21440.35
C0086,ООО Ромашка,2024-08-30,67651.69
C0087,ИП Соло,2025-10-11,18303.15
C0088,МУП Культура,2025-01-01,53582.63
C0089,ИП Иванов,2024-12-24,56259.37
C0090,ООО Филармония,2024-09-06,76438.58
C0091,ООО Ромашка,2025-02-28,42543.61
C0092,МУП Культура,2025-09-15,68507.29
C0093,ООО Филармония,2024-11-04,90565.72
C0094,ИП Иванов,2024-08-30,32037.38
C0095,ИП Соло,2025-04-30,92607.13
C0096,ГБУ Концерт-холл,2024-05-20,45850.21
C0097,МУП Культура,2025-06-23,7743.00
C0098,ГБУ Концерт-холл,2024-03-20,42895.70
C0099,ООО Филармония,2024-10-19,25156.58
C0100,ООО Филармония,2025-10-01,60838.84
